type,id,attributes.state,attributes.lastLocationUpdate,attributes.lastStateChange,attributes.batteryLevel,attributes.currentRangeMeters,attributes.lat,attributes.lng,attributes.maxSpeed,attributes.zoneId,attributes.code,attributes.iotVendor,attributes.licencePlate,attributes.isRentable,attributes.vehicleType,attributes.hasHelmetBox,attributes.hasHelmet
vehicle,f119ae17-6cd0-4f5b-bc5d-abb5f7252b96,ACTIVE,2024-04-03T16:16:25Z,2024-04-01T21:40:42Z,88,41000,51.343894,12.428635,20,LEIPZIG,373895,ninebot_g3,325IIC,True,escooter,False,False
vehicle,7a2e8769-63d3-4479-bf03-8449254ab55d,ACTIVE,2024-04-03T15:02:43Z,2024-04-02T20:33:12Z,87,40000,51.311688,12.372861,20,LEIPZIG,373913,ninebot_g3,351IIC,True,escooter,False,False
vehicle,4bae411a-1308-468c-ac87-fd52b770440e,ACTIVE,2024-04-03T16:12:01Z,2024-03-31T21:35:19Z,87,40000,51.361104,12.370133,20,LEIPZIG,373972,ninebot_g3,033IIC,True,escooter,False,False
vehicle,ec5cb647-1246-4c4d-aa6f-91b4eb77c916,ACTIVE,2024-04-03T16:25:48Z,2024-03-30T23:54:10Z,77,35000,51.34393,12.428619,20,LEIPZIG,374590,ninebot_g3,377IIC,True,escooter,False,False
vehicle,0b54e36c-a8d0-444b-b804-ebe165cd4999,ACTIVE,2024-04-03T15:52:16Z,2024-04-02T20:08:26Z,90,42000,51.317967,12.368726,20,LEIPZIG,374613,ninebot_g3,438IIC,True,escooter,False,False
vehicle,47edaad2-bf08-4088-82ab-f3dcde70acd8,ACTIVE,2024-04-03T16:23:12Z,2024-03-30T18:33:34Z,53,21000,51.343944,12.428605,20,LEIPZIG,374623,ninebot_g3,234IIC,True,escooter,False,False
vehicle,efafb4cd-07bd-4cb4-b908-42f7113fb3ee,ACTIVE,2024-04-03T15:46:04Z,2024-04-01T20:35:43Z,88,41000,51.31907,12.388695,20,LEIPZIG,374869,ninebot_g3,314IIC,True,escooter,False,False
vehicle,6aa5440b-2278-47d2-92ca-f3b04a941a02,ACTIVE,2024-04-03T16:02:43Z,2024-04-01T23:48:54Z,58,24000,51.306473,12.396126,20,LEIPZIG,375013,ninebot_g3,084IIC,True,escooter,False,False
vehicle,3c13caca-1e64-432b-b1fe-a6188b35f98f,ACTIVE,2024-04-03T15:18:40Z,2024-03-31T18:09:33Z,47,18000,51.341179,12.324106,20,LEIPZIG,375023,ninebot_g3,336IIC,True,escooter,False,False
vehicle,c1b3e37f-9759-4ba0-94d6-b7b6f571b970,ACTIVE,2024-04-03T12:34:55Z,2024-04-01T21:37:36Z,88,41000,51.343912,12.428629,20,LEIPZIG,375368,ninebot_g3,187IIC,True,escooter,False,False
